outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,60,0.2859343796932494,0.14759937375469045,-0.003360392865943862,0.5752291522524426
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,70,0.11145580960428408,0.14378854292793355,-0.1703697345344657,0.39328135374303386
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-70,-2.6435595623357204,2.0265759454545393,-6.615648415426618,1.3285292907551765
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-60,-1.5171966068117595,1.794685219464167,-5.0347796369615265,2.000386423338008
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-50,-0.8535553616093131,1.8373610063710761,-4.454782934096622,2.747672210877996
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-40,-1.0247079380970099,1.5954496326869718,-4.151789218163475,2.1023733419694546
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-30,0.3935450119088735,1.3420508213799884,-2.2368745979959037,3.0239646218136507
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-20,0.3468325006579815,1.3349229233803903,-2.2696164291675838,2.9632814304835464
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,0,-1.334411192149585,1.1018071389033006,-3.493953184400054,0.8251308001008844
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,10,-0.8623592037533724,0.96034856793887,-2.7446423969135574,1.0199239894068128
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,20,-2.7920999717169552,1.4010042422977065,-5.53806828662046,-0.04613165681345066
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,30,-3.2902454763109894,1.3168073833674403,-5.871187947711173,-0.7093030049108067
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,40,-3.2674027799020626,1.4484086304065045,-6.106283695498812,-0.4285218643053139
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,50,-3.544480136624476,1.6458381177038015,-6.770322847323927,-0.31863742592502486
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,60,-4.231607838905883,1.6753891348324457,-7.515370543177476,-0.9478451346342895
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,70,-4.6999814814710135,1.622456172342187,-7.8799955792617,-1.519967383680327
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-70,-0.7579374928488302,0.854820512571297,-2.433385697488572,0.9175107117909119
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-60,-0.3045025151541895,0.7868032161606929,-1.8466368188291478,1.2376317885207686
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-50,-0.04125661818800336,0.9037761636233624,-1.8126578988897937,1.7301446625137868
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-40,0.13517517932981363,0.7880960961096165,-1.4094931690450345,1.679843527704662
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-30,0.5101361799723628,0.7512984967450378,-0.9624088736479112,1.9826812335926367
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-20,-0.14125318721870034,0.739962215416747,-1.5915791294355246,1.3090727549981238
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,0,-0.037562125960374525,0.6161189050649989,-1.2451551798877722,1.1700309279670233
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,10,0.26469551295903276,0.5191146545840507,-0.7527692100257066,1.282160235943772
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,20,-0.5369201290548317,0.5274666171629488,-1.5707546986942114,0.49691444058454814
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,30,-0.808132656338255,0.4277362326712277,-1.6464956723738613,0.030230359697351217
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,40,-0.7661491619232468,0.561209927122622,-1.8661206190835857,0.33382229523709217
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,50,-1.159965013454821,0.53063424666065,-2.2000081369096947,-0.11992188999994702
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,60,-1.128602048196167,0.47424060072269725,-2.0581136256126538,-0.19909047077968034
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,70,-1.7154807360429585,0.6094458196899345,-2.9099945426352303,-0.5209669294506869
