fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
36,1858,Turin,Piedmont-Sardinia,Sesta Esposizione Nazionale di Prodotti d'Industria,1858,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
37,1860,Montreal,Canada,Grand Exhibition of the Industrial Products of United Canada at the Crystal Palace (Montreal),1860,TRUE,45.50884,-73.58781,6077243,Montréal,CAN,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
38,1861,Brisbane,Queensland,First Queensland Exhibition,1861,TRUE,-27.46794,153.02809,2174003,Brisbane,AUS,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
39,1861,Melbourne,Victoria,Second Victorian Exhibition,1861,TRUE,-37.814,144.96332,2158177,Melbourne,AUS,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
40,1861,Metz,France,Exposition Universelle (1861),1861,TRUE,49.11911,6.17269,2994160,Metz,FRA,europe_lau,GISCO_LAU_FR_57463,FR_57463,FR,Metz,Metz,France,FRA,matched_to_panel
41,1861,Amsterdam,Netherlands,Fisheries Exposition,1861,TRUE,52.37403,4.88969,2759794,Amsterdam,NLD,europe_lau,GISCO_LAU_NL_GM0363,NL_GM0363,NL,Amsterdam,Amsterdam,Netherlands,NLD,matched_to_panel
42,1862,Geelong,Australia,"Exhibition of Art, Science and Industry",1862,TRUE,-38.14711,144.36069,2165798,Geelong,AUS,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
43,1862,London,United Kingdom,1862 International Exhibition,1862,TRUE,51.50853,-0.12574,2643743,London,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
44,1864,Bayonne,France,Franco-Spanish Exposition,1864,TRUE,43.49316,-1.473,3034475,Bayonne,FRA,europe_lau,GISCO_LAU_FR_64102,FR_64102,FR,Bayonne,Bayonne,France,FRA,matched_to_panel
45,1865,Cologne,Prussia,International Agricultural Exhibition,1865,TRUE,45.57862,9.9418,3178287,Cologne,ITA,NA,NA,NA,IT,Cologne,NA,NA,NA,europe_lau_not_in_panel
46,1865,Bergen,Norway,International Fisheries Exhibition,1865,TRUE,60.39299,5.32415,3161732,Bergen,NOR,europe_lau,GISCO_LAU_NO_4601,NO_4601,NO,Bergen,Bergen,Norway,NOR,matched_to_panel
47,1865,Batavia,Dutch East Indies,Industrial and Agricultural Exhibition,1865,TRUE,3.3183,97.151,6703761,Batai,IDN,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
48,1865,Dunedin,New Zealand,New Zealand Exhibition,1865,TRUE,-45.87416,170.50361,2191562,Dunedin,NZL,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
49,1865,Dublin,United Kingdom,International Exhibition of Arts and Manufactures,1865,TRUE,52.28102,1.17081,13274840,Dublin,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
50,1865,Freetown,Sierra Leone,Sierra Leone Exhibition,1865,TRUE,8.48714,-13.2356,2409306,Freetown,SLE,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
51,1865,Porto,Portugal,1865 International Exhibition,1865,TRUE,41.1485,-8.61097,2735943,Porto,PRT,europe_lau,GISCO_LAU_PT_131217,PT_131217,PT,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Portugal,PRT,matched_to_panel
52,1866,Ballarat,Victoria,National Industrial Exhibition,1866,TRUE,-37.56622,143.84957,2177091,Ballarat,AUS,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
